CAD_commit,pair,grid,frequency_MHz,Sdd11_dB,Scd21_dB,insertion_loss_dB
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,110,-39.40287988547539,-63.04682073471335,0.0006045316276372507
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,111,-39.3255323469051,-62.967534081671424,0.0006083930244557419
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,112,-39.248901484113944,-62.88894690278721,0.00061234279830333
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,113,-39.17297477104972,-62.811046681860326,0.0006163821311648618
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,114,-39.09774001299474,-62.73382123403965,0.0006205122046520858
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,115,-39.02318533499009,-62.657258694288565,0.0006247341997752115
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,116,-38.949299170764206,-62.581347506289376,0.0006290492966836092
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,117,-38.87607025213331,-62.5060764118451,0.0006334586744257986
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,118,-38.80348759885557,-62.43143444074622,0.0006379635107007586
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,119,-38.731540508911294,-62.357410901041135,0.0006425649816188811
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,120,-38.66021854919134,-62.28399536973306,0.0006472642614494255
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,121,-38.58951154657088,-62.211177683839914,0.0006520625223650776
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,122,-38.519409579350665,-62.138947931854176,0.0006569609342115864
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,123,-38.44990296904824,-62.06729644551273,0.0006619606642571466
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,124,-38.380982272520924,-61.996213791942,0.0006670628769321392
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,125,-38.31263827440527,-61.925690766082184,0.0006722687336103393
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,126,-38.24486197985718,-61.855718383433064,0.0006775793923312986
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,127,-38.17764460758,-61.786287873077555,0.000682996007585411
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,128,-38.11097758312582,-61.717390670989445,0.0006885197300411161
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,129,-38.04485253245624,-61.64901841358191,0.000694151706331895
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,130,-37.97926127575323,-61.58116293154307,0.0006998930787709356
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,131,-37.91419582146598,-61.51381624384854,0.0007057449851535585
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,132,-37.84964836058539,-61.446970552059064,0.0007117085584689884
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,133,-37.78561126113281,-61.38061823480972,0.000717784926691207
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,134,-37.7220770628567,-61.3147518424865,0.000723975212534121
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,135,-37.65903847212591,-61.24936409214341,0.0007302805331768344
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,136,-37.59648835701143,-61.18444786256532,0.0007367020000699302
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,137,-37.534419742547804,-61.11999618953324,0.0007432407186588102
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,138,-37.472825806167684,-61.05600226127112,0.0007498977881610442
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,139,-37.411699873300606,-60.99245941402185,0.0007566743013311784
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,140,-37.35103541312966,-60.929361127824286,0.0007635713442043262
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,141,-37.290826034499204,-60.8667010224115,0.0007705899958985881
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,142,-37.23106548196721,-60.8044728532503,0.0007777313283133123
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,143,-37.17174763199564,-60.74267050776562,0.0007849964059768399
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,144,-37.11286648927456,-60.68128800161793,0.0007923862857389751
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,145,-37.0544161831722,-60.62031947519206,0.0007999020165772589
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,146,-36.99639096430796,-60.55975919014717,0.0008075446393752691
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,147,-36.93878520124196,-60.499601526112976,0.0008153151866507719
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,148,-36.881593377276765,-60.43984097749365,0.0008232146823687388
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,149,-36.82481008736693,-60.380472150369044,0.0008312441416849244
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,150,-36.76843003513149,-60.32148975951331,0.0008394045707473064
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,1,-81.8290583684689,-102.16420091636321,0.0004924655819470771
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,2,-75.81530069631245,-96.99307549769854,0.0004924188804062699
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,3,-72.29477528915172,-93.64855431376021,0.0004923410730836612
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,4,-69.79649279318977,-91.2135671486119,0.0004922322028835185
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,5,-67.85856122865603,-89.30519014585423,0.0004920923298349736
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,6,-66.27512560565972,-87.73782889876637,0.0004919215310978061
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,7,-64.93634910881633,-86.40870522796304,0.0004917199009518306
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,8,-63.7766600975554,-85.25522197749204,0.0004914875507824256
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,9,-62.753760068007935,-84.23650911205169,0.0004912246090390606
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,10,-61.838766360293874,-83.32443889316197,0.0004909312212391448
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,11,-61.01107739144959,-82.49883903921949,0.0004906075499149802
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,12,-60.25548131208723,-81.74475640910725,0.0004902537746002504
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,13,-59.56042584866395,-81.05080214913436,0.0004898700917769711
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,14,-58.91693110122729,-80.40810369367102,0.0004894567148677643
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,15,-58.317878310818266,-79.8096151359156,0.0004890138741529102
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,16,-57.757528621660455,-79.249648475313,0.0004885418167664789
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,17,-57.23118798543179,-78.72354603536141,0.0004880408066317026
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,18,-56.73496798733006,-78.2274459714555,0.00048751112439924323
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,19,-56.26561142143559,-77.75811085329251,0.00048695306740860223
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,20,-55.82036265678597,-77.31280001440267,0.00048636694964181566
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,21,-55.396869663630156,-76.889172917912,0.0004857531016173566
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,22,-54.99310885168824,-76.48521491863409,0.0004851118703872258
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,23,-54.60732662924845,-76.09917947145587,0.00048444361942699574
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,24,-54.23799340885984,-75.72954260120106,0.0004837487285808227
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,comparison,25,-53.88376700816333,-75.3749666404433,0.000483027593986208
